BidangUsaha,JumlahAset,Lokasi,MataUang,Nama,Persentase,Satuan,StatusOperasi,TahunKomersil,KodeEmiten,NamaEmiten
INVESTASI,189616,INDONESIA,USD,PT ALAM TRI BANGUN INDONESIA,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,35769,INDONESIA,USD,PT ALAM TRI CAKRA INDONESIA,85.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,1342386,INDONESIA,USD,PT ALAM TRI DAYA INDONESIA,84.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
"PENGGALIAN BATU, PASIR DAN TANAH LIAT LAINNYA",7,INDONESIA,USD,PT BASALT SINAR LESTARI,84.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENYEDIAAN TENAGA LISTRIK,33146,INDONESIA,USD,PT BATAM SARANA SURYA,65.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,19,INDONESIA,USD,PT BATAM SURYA ENERGI,65.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PERTAMBANGAN,2121,INDONESIA,USD,PT BATUAN ANUGERAH SEMESTA,84.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PERTAMBANGAN BATU KAPUR,1734,INDONESIA,USD,PT BUMI ALAM SERAYA,84.0,RIBUAN,NAN,2024,ADRO,ALAMTRI RESOURCES INDONESIA TBK
TRANSMISI TENAGA LISTRIK,646,INDONESIA,USD,PT JARINGAN INTERKONEKSI BATAM ABADI,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
TRANSMISI TENAGA LISTRIK,3012,INDONESIA,USD,PT JARINGAN INTERKONEKSI KARIMUN ABADI,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PERTAMBANGAN,26653,INDONESIA,USD,PT JULOI COAL,84.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENGOLAHAN LOGAM,626344,INDONESIA,USD,PT KALIMANTAN ALUMINIUM INDUSTRY,54.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,71442,INDONESIA,USD,PT KALIMANTAN ENERGI HIJAU,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PERTAMBANGAN,2148,INDONESIA,USD,PT KALTENG COAL,84.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,10,INDONESIA,USD,PT KARIMUN INDUSTRI SURYA SEMESTA,90.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENYEDIAAN TENAGA LISTRIK,5891,INDONESIA,USD,PT KARIMUN SARANA SURYA,90.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,279,INDONESIA,USD,PT KORIDOR ANUGERAH MENTARI INDONESIA,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PERTAMBANGAN,110652,INDONESIA,USD,PT LAHAI COAL,84.0,RIBUAN,NAN,2016,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PERDAGANGAN DAN PEMBANGKITAN LISTRIK,130824,INDONESIA,USD,PT MAKMUR SEJAHTERA WISESA,87.0,RIBUAN,NAN,2013,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PERTAMBANGAN,1210115,INDONESIA,USD,PT MARUWAI COAL,84.0,RIBUAN,NAN,2020,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,64668,INDONESIA,USD,PT MENTARANG TIRTA ENERGI,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENYEDIA TENAGA LISTRIK,4,INDONESIA,USD,PT PEMBANGKIT INDONESIA ALFA,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENYEDIA TENAGA LISTRIK,91,INDONESIA,USD,PT PEMBANGKIT INDONESIA DELTA,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENYEDIA TENAGA LISTRIK,2596,INDONESIA,USD,PT PEMBANGKIT INDONESIA EPSILON,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENYEDIA TENAGA LISTRIK,1070,INDONESIA,USD,PT PEMBANGKIT INDONESIA ETA,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENYEDIA TENAGA LISTRIK,3,INDONESIA,USD,PT PEMBANGKIT INDONESIA GAMMA,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENYEDIA TENAGA LISTRIK,3,INDONESIA,USD,PT PEMBANGKIT INDONESIA ZETA,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
JASA PERTAMBANGAN,879249,INDONESIA,USD,PT SAPTAINDRA SEJATI,100.0,RIBUAN,NAN,2002,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PERTAMBANGAN,2173,INDONESIA,USD,PT SUMBER BARITO COAL,84.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENGELOHAN RUMPUT LAUT,6988298664,MAKASSAR,IDR,PT GIWANG CITRA LAUT,99.99,PENUH,BELUM,2022,AGAR,PT ASIA SEJAHTERA MINA TBK
