Jumlah,Kategori,Nama,Pengendali,Persentase,KodeEmiten,NamaEmiten
1350000000.0,More Than 5%,PT GARUDA MULTI INVESTAMA,True,57.6,BOLT,PT GARUDA METALINDO TBK
233691100.0,More Than 5%,UOB KAY HIAN PTE LTD,False,9.97,BOLT,PT GARUDA METALINDO TBK
2193552006.0,More Than 5%,WOORI CARD CO LTD,True,82.04,BPFI,PT WOORI FINANCE INDONESIA TBK
208108444.0,More Than 5%,PT BATAVIA PROSPERINDO INTERNASIONAL TBK,False,7.78,BPFI,PT WOORI FINANCE INDONESIA TBK
2381968773.0,More Than 5%,PT BATAVIA PROSPERINDO INTERNASIONAL TBK,True,67.4,BPTR,PT BATAVIA PROSPERINDO TRANS TBK
370212200.0,More Than 5%,PT VICTORIA INVESTAMA TBK,False,10.48,BPTR,PT BATAVIA PROSPERINDO TRANS TBK
353400000.0,More Than 5%,OSCARMAS,False,10.0,BPTR,PT BATAVIA PROSPERINDO TRANS TBK
277193068.0,More Than 5%,KORDSA TEKNIK TEKSTIL AS,True,61.59,BRAM,INDO KORDSA TBK
25231500.0,More Than 5%,PT RISJADSON SURYATAMA,False,5.61,BRAM,INDO KORDSA TBK
23740608436.0,More Than 5%,PT BANK MANDIRI (PERSERO) TBK,True,51.47,BRIS,PT BANK SYARIAH INDONESIA TBK
10720230418.0,More Than 5%,PT BANK NEGARA INDONESIA (PERSERO) TBK,True,23.24,BRIS,PT BANK SYARIAH INDONESIA TBK
7092761655.0,More Than 5%,PT BANK RAKYAT INDONESIA (PERSERO) TBK,True,15.38,BRIS,PT BANK SYARIAH INDONESIA TBK
1.0,More Than 5%,NEGARA REPUBLIK INDONESIA,True,0.0,BRIS,PT BANK SYARIAH INDONESIA TBK
35592738434.0,More Than 5%,EMIRATES TARIAN GLOBAL VENTURES SPC,False,25.1,BRMS,BUMI RESOURCES MINERALS TBK
10784607811.0,More Than 5%,GLAS TRUST SINGAPORE LTD,False,7.6,BRMS,BUMI RESOURCES MINERALS TBK
9339504548.0,More Than 5%,PT MAYBANK SEKURITAS INDONESIA,False,6.59,BRMS,BUMI RESOURCES MINERALS TBK
7773275868.0,More Than 5%,PT CGS INTERNATIONAL SEKURITAS INDONESIA,False,5.48,BRMS,BUMI RESOURCES MINERALS TBK
7194378600.0,More Than 5%,CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,False,5.07,BRMS,BUMI RESOURCES MINERALS TBK
3765383689.0,More Than 5%,BUMI RESOURCES TBK,True,2.66,BRMS,BUMI RESOURCES MINERALS TBK
534252162.0,More Than 5%,PT DWI SATRYA UTAMA,True,54.57,BRNA,BERLINA TBK
102414000.0,More Than 5%,KOMODO FUND,False,10.46,BRNA,BERLINA TBK
8522862464.0,More Than 5%,PT PARAGA ARTA MIDA,True,40.26,BSDE,PT BUMI SERPONG DAMAI TBK
5425964486.0,More Than 5%,PT EKACENTRA USAHAMAJU,True,25.63,BSDE,PT BUMI SERPONG DAMAI TBK
5913426800.0,More Than 5%,PT SINAR MAS MULTIARTHA TBK,True,29.995,BSIM,BANK SINARMAS TBK
586363365.0,More Than 5%,PT GOLDFIVE INVESTMENT CAPITAL,True,31.69,BSML,PT BINTANG SAMUDERA MANDIRI LINES TBK
1308280674.0,More Than 5%,PT WAHANA SENTOSA CEMERLANG,True,50.001,BSSR,BARAMULTI SUKSESSARANA TBK
680290000.0,More Than 5%,TATA POWER COMPANY LTD,False,26.0,BSSR,BARAMULTI SUKSESSARANA TBK
254847100.0,More Than 5%,GS ENERGY CORPORATION,False,9.74,BSSR,BARAMULTI SUKSESSARANA TBK
130825000.0,More Than 5%,PT GS GLOBAL RESOURCES,False,5.0,BSSR,BARAMULTI SUKSESSARANA TBK
3355488000.0,More Than 5%,BANK OF INDIA,True,90.96,BSWD,BANK OF INDIA INDONESIA TBK
13656262169.0,More Than 5%,GOLDEN HARVEST COCOA LTD,True,29.51,BTEK,BUMI TEKNOKULTURA UNGGUL TBK
6028042231.0,More Than 5%,UBS AG SINGAPORE,False,13.03,BTEK,BUMI TEKNOKULTURA UNGGUL TBK
4557527258.0,More Than 5%,PT ASABRI (PERSERO),False,9.85,BTEK,BUMI TEKNOKULTURA UNGGUL TBK
9692826975.0,More Than 5%,SUMITOMO MITSUI BANKING CORPORATION,True,91.047,BTPN,PT BANK SMBC INDONESIA TBK
5392590000.0,More Than 5%,PT BANK SMBC INDONESIA TBK,True,70.0,BTPS,PT BANK BTPN SYARIAH TBK
1487271833.0,More Than 5%,PT BUDI DELTA SWAKARYA,True,33.0579,BUDI,PT BUDI STARCH & SWEETENER TBK
1201296998.0,More Than 5%,PT SUNGAI BUDI,True,26.7014,BUDI,PT BUDI STARCH & SWEETENER TBK
35122243214.0,More Than 5%,PT KREATIF MEDIA KARYA,True,34.053,BUKA,PT BUKALAPAK.COM TBK
10821706040.0,More Than 5%,ELANG MAHKOTA TEKNOLOGI TBK,False,10.492,BUKA,PT BUKALAPAK.COM TBK
