Nama,Closeness
RUDY DAVE LIU,1.0
PT NUGEN FARMA MEDIKA,1.0
LI CHENG,1.0
PT CNGR DING XING NEW ENERGY,1.0
DAVID SURYADI,1.0
PT DANINDO TAPE PACKAGING INDUSTRY,1.0
WIRYAWAN CHANDRA,1.0
PT UNITAMA SINERGI SUKSES,1.0
LO RENDY HARYO PANGESTU,1.0
PT GRAMAR JAYA,1.0
DICKY SUSANTO,1.0
PT MULTI KENCANA NIAGATAMA,1.0
ARIYA CHANDRA,1.0
PT CHANDRA MITRA STRUKTURINDO,1.0
DARMANTO,1.0
PT KOKOH BANGKIT PERKASA,1.0
LILIM VALENDRA,1.0
PT LANCAR LAJU MEMBANGUN,1.0
DENNY TJIPUTRA,1.0
PT KARYA CIPTA BANGUN MANDIRI,1.0
BORYIN WU,1.0
PT UNIONINDO STEEL INDUSTRY,1.0
MARLIANE ANGGRAINI SEBASTIAN,1.0
PT NUSA ELANG SATRIA,1.0
DADAN KURNIAWAN,1.0
CV KARUNIA MULTI DAYA,1.0
TIARO ITA SIMAMORA,1.0
PT BINTANG ANUGRAH SAMUELRENO,1.0
MUHAMMAD ARIFIN NASUTION,1.0
PT LOKITA KARYA BERSAMA,1.0
ANTONIUS PUTUT SAPTOTRI,1.0
PT BEST TIRTA TECHNOLOGY,1.0
HUANG WEIFENG,1.0
PT LESTARI SMELTER INDONESIA,1.0
FENG XIANGBAO,1.0
PT WANXIANG NICKEL INDONESIA,1.0
PETRUS KOSASI KARTO,1.0
PT JASA SEMESTA UTAMA,1.0
DJONY SUDJANA DANUBRATA,1.0
PT DANTOSAN PRECON PERKASA,1.0
AMIR PHENDY,1.0
PT MULTIDAYA TEKNIK PRAKARSA,1.0
HENDRA TANUJAYA,1.0
PT MITRA SEKAWAN PRIMA,1.0
SUMIDI,1.0
PT ANDIKA BANGUN NUSANTARA,1.0
JANNER TANDRA,1.0
PT MAJUKARYA MANDIRI INDONESIA,1.0
LUTFI NAZI,1.0
PT BAKTI ENERGI SEJAHTERA,1.0
DJAKA WINARSO,1.0
PT BUMIRESIK NUSANTARA RAYA,1.0
ROLLY RAHADIAN,1.0
PT RASYA UTAMA,1.0
EDDY IRSAN SIREGAR,1.0
PT TITIAN BINAMIR METAL,1.0
TRIYAMI UTAMININGSIH,1.0
PT REKAYASA ENGINEERING,1.0
YU HONGBO,1.0
GREATWALL DRILLING ASIA PACIFIC,1.0
AGUSMAN,1.0
PT BERKAT MANUNGGAL ENERGI,1.0
SATIMIN,1.0
TAMAN BUKIT MAS,1.0
KIKI RIZKI AULIA,1.0
PT WAHANA LOGISTIK SEMESTA,1.0
SRI MULYONO HERLAMBANG,1.0
PT WAHANABHARA BHAKTI,1.0
MEI SURYAWAN,1.0
PT KALTIM NITRATE INDONESIA,1.0
HSIEH CHENC HANG,1.0
PT LUCKY TOP METALS,1.0
SUEDI HUSEIN,1.0
PT BINASAWIT ABADI PRATAMA,1.0
GWIE SUCIATI KRISNADI,1.0
PT KARYAWAJA EKAMULIA,1.0
LANY WATI,1.0
PT UNGGUL PRAKARSA PRISMA,1.0
MARTIN ADAM,1.0
PT PROMEDRAHARDJO FARMASI INDUSTRI,1.0
ALLAN GAUTAMA,1.0
PT ANEKA CIPTA,1.0
IRWAN SUSIANTO S,1.0
PT AGRITAMA MULTI SARANA,1.0
CHANDRA HALIM,1.0
PT MAHAKARYA SENTRA ENERGI,1.0
TANDJUNG MARGONO,1.0
PT RUMAH KARYA ENTERTAINMENT,1.0
DAVID HERMAN JAYA,1.0
PT MEKAR ARMADA JAYA,1.0
HERMAN SUGALIH,1.0
CV KARYA INDAH LAKSANA,1.0
MARK ALAN LOYND,1.0
PT GIORDANO INDONESIA,1.0
HENDRAWAN DENY ARDIYATMAN,1.0
PT DEVOTEAM CLOUD SERVICES,1.0
SRI MULATI,1.0
CV MUL JAYA,1.0
SUTOMO BONG,1.0
PT SINAR TENGGARONG INTI MULYA,1.0
FENY PRISKIANA,1.0
PT PELAYARAN LAUTAN BERKAT,1.0
YEE KONG SENG FRANCIS,1.0
PT GRAND OUTLET BALI,1.0
XIANG WENBO,1.0
PT SANY MAKMUR PERKASA,1.0
ANDY SOTAR SIMANJUNTAK,1.0
PT SAETI BETON PRACETAK,1.0
POLTAK HALOMOAN ARIFIN NABABAN,1.0
PT STRUKTUR PINTAR INDONESIA,1.0
HARYOTO,1.0
PT ALIEF PRATAMA TRANSINDO,1.0
AGUNG DAMIAR,1.0
PT CITRA LAUTAN TEDUH,1.0
SAENAL,1.0
PT SINAR GEMILANG SUMBER SEJAHTERA,1.0
PARK JOUNG IN,1.0
PT KEDAP SAYAAQ,1.0
DADANG HADI PRAPTOMO,1.0
PT SUMBERDAYA ARINDO,1.0
TRIA BELITONITO ATURBUMI,1.0
PT OKTASAN BARUNAPERSADA,1.0
VENI JANTI,1.0
PT NEYVA PUTRI SRIWIJAYA,1.0
MAT JAIS,1.0
PT JAMBI SUMBER BARA UTAMA,1.0
WIRA LESMANA WILISTIO,1.0
PT SRIWIJAYA TEKNIK UTAMA,1.0
SONNY YOHANNES,1.0
PT NISSON INDONESIA,1.0
SOEDJARWO TANOJO,1.0
PT TEGUH PERKASA KARYA PERDANA,1.0
PURNORIJANTO SONORUKMINTO,1.0
PT PURNABUANA YUDHA,1.0
WANG WEIJI,1.0
PT CNTIM CONSTRUCTION INDONESIA,1.0
AN KYONG WON,1.0
PT KEP INDONESIA,1.0
MARTIN SETIAWAN,1.0
