Nama,Degree
PT SMCC UTAMA INDONESIA,3.0
PT BUANA BAJA BINA SEMESTA,3.0
PT PANEN SELARAS INTIBUANA,3.0
PT ENERGI SELALU BARU,3.0
PT INOVA DUAPULUH DUAPULUH,3.0
PT NUSANTARA SEMESTA MANDIRI,3.0
PT INDONESIA CHEMICAL ALUMINA,3.0
PT BALI PERKASASUKSES,3.0
PT ASTRA TOL NUSANTARA,3.0
PT MULIAGLASS,3.0
PT DIAGNOS LABORATORIUM UTAMA TBK,3.0
BINTANG MITRA SEMESTARAYA TBK,3.0
PT FORMOSA INGREDIENT FACTORY TBK,3.0
PT BINTANG OTO GLOBAL TBK,3.0
PT WOORI FINANCE INDONESIA TBK,3.0
BUMI TEKNOKULTURA UNGGUL TBK,3.0
ELANG MAHKOTA TEKNOLOGI TBK,3.0
EAGLE HIGH PLANTATIONS TBK,3.0
PT BERAU COAL ENERGY TBK,3.0
PT ARTHA DAYA COALINDO,3.0
PT PANORAMA HOSPITALITY MANAGEMENT,3.0
PT SERASI AUTORAYA,3.0
PT TRI ADI BERSAMA,3.0
PT TIRTAKENCANA TATAWARNA,3.0
PT BCA FINANCE,3.0
PT BNI LIFE INSURANCE,3.0
PT BRI ASURANSI INDONESIA (BRI INSURANCE,3.0
PT MNC ASURANSI INDONESIA,3.0
PT MITRATAMA PERKASA,3.0
PT PERMADANI KHATULISTIWA NUSANTARA,3.0
PT MULTIMAS NABATI ASAHAN,3.0
PT BACH MULTI GLOBAL,3.0
PT BACH MULTI INFRASTRUKTUR,3.0
PT OKAMURA CHITOSE INDONESIA,3.0
C&D LOGISTICS GROUP CO LTD,3.0
PT LDC TRADING INDONESIA,3.0
PT MEDCO E&P INDONESIA,3.0
PT ASURANSI PURNA ARTANUGRAHA,3.0
PT PERTAMINA TRANS KONTINENTAL,3.0
PT MUSIM MAS,3.0
PT PANORAMA JTB TOURS INDONESIA,3.0
PT PERTAMINA GAS,3.0
PT SUKU CADANG OTO SEJAHTERA,3.0
PT NIRVANA WASTU AMERTA,3.0
PT MNC OTT NETWORK,3.0
PT MNC PORTAL INDONESIA,3.0
PT RAJAWALI CITRA TELEVISI INDONESIA,3.0
PT SUMBER KITA INDAH,3.0
PT SYNNEX METRODATA INDONESIA,3.0
MASKAPAI REASURANSI INDONESIA TBK,3.0
METRODATA ELECTRONICS TBK,3.0
METROPOLITAN LAND TBK,3.0
MAYORA INDAH TBK,3.0
PELAYARAN NELLY DWI PUTRI TBK,3.0
PT PAM MINERAL TBK,3.0
PT BANK OCBC NISP TBK,3.0
PT WEHA TRANSPORTASI INDONESIA TBK,3.0
PT PANCA GLOBAL KAPITAL TBK,3.0
PEMBANGUNAN GRAHA LESTARI INDAH TBK,3.0
PT PRADIKSI GUNATAMA TBK,3.0
PT ZTT CABLE INDONESIA,3.0
PT DOW INDONESIA,3.0
PT RUMAH MEBEL NUSANTARA,3.0
PT SERUMPUN INDAH LESTARI,3.0
MAYAPADA HEALTHCARE GROUP,3.0
PT GAWI MAKMUR KALIMANTAN,3.0
PT TIRTA FRESINDO JAYA,3.0
PT ASURANSI JIWA INHEALTH INDONESIA,3.0
PT ANTARMITRA SEMBADA,3.0
PT BINA SAN PRIMA,3.0
PT MENSA BINASUKSES,3.0
PT PERKEBUNAN NUSANTARA VI,3.0
PT PANCA SURYA GEMILANG,3.0
PT MAHKOTA SENTOSA UTAMA,3.0
PT SANTOS JAYA ABADI,3.0
PT JOTUN INDONESIA,3.0
PT SUCOFINDO,3.0
PT INTISUMBER BAJASAKTI,3.0
PT BERKAH DIGITAL DISTRINDO,3.0
PT SINERGI TEKNOLOGI MANDIRI,3.0
PT URBAN JAKARTA PROPERTINDO TBK,3.0
PT VICTORIA INSURANCE TBK,3.0
PT WIDODO MAKMUR UNGGAS TBK,3.0
PT WAHANA OTTOMITRA MULTIARTHA TBK,3.0
PT INTINIAGA SUKSES ABADI,3.0
PT VIDIO DOT COM,3.0
PT MULTI WELINDO,3.0
INDOCEMENT,3.0
PT FAJAR SAKTI PRIMA,3.0
PT INDONESIA PRATAMA,3.0
PT MANDIRI TUNAS FINANCE,3.0
PT MAYBANK INDONESIA FINANCE,3.0
PT GRIYA IDOLA,3.0
PT SARANA MEDITAMA INTERNATIONAL,3.0
PT INDOSIAR VISUAL MANDIRI,3.0
PT SURYA CITRA TELEVISI,3.0
PT SINAR INDAHJAYA KENCANA,3.0
PT GRAMA PRAMESI SIDDHI,3.0
PT LAJU PERDANA INDAH,3.0
PT SEKAR KATOKICHI,3.0
MERCK TBK,3.0
MULTIPOLAR TBK,3.0
PT KENCANA ENERGI LESTARI TBK,3.0
PT KINO INDONESIA TBK,3.0
KOKOH INTI AREBAMA TBK,3.0
PT MITRA ENERGI PERSADA TBK,3.0
PT ACE OLDFIELDS TBK,3.0
PT LOGINDO SAMUDRAMAKMUR TBK,3.0
STAR PACIFIC TBK,3.0
RADIANT UTAMA INTERINSCO TBK,3.0
STEADY SAFE TBK,3.0
MILLENNIUM PHARMACON INTERNATIONAL TBK,3.0
PT PERTAMINA INTERNATIONAL SHIPPING,3.0
PT SILOAM INTERNATIONAL HOSPITALS TBK,3.0
SMR UTAMA TBK,3.0
PT SURYA PERTIWI TBK,3.0
PT BLISS PROPERTI INDONESIA TBK,3.0
PT LAUTAN LUAS TBK,3.0
MALINDO FEEDMILL TBK,3.0
PT MARK DYNAMICS INDONESIA TBK,3.0
MULTISTRADA ARAH SARANA TBK,3.0
PT BANK MULTIARTA SENTOSA TBK,3.0
MODERN INTERNASIONAL TBK,3.0
PT INDOMOBIL TRADA NASIONAL,3.0
PT PRIMA SARANA GEMILANG,3.0
PT WAHANA INTI SELARAS,3.0
TEACHCAST GLOBAL PTE LTD,3.0
PT ANEKA SATWITRA SARI FOOD,3.0
PT PERMATA FOOD INDONESIA,3.0
PT GLOBAL CHEMINDO MEGATRADING,3.0
PT SURYA DHOHO INVESTAMA,3.0
PT CENTRATAMA MENARA INDONESIA,3.0
PT EPID MENARA ASSETCO,3.0
PT GIRDER INDONESIA,3.0
PT GRAHA SARANA DUTA,3.0
PT INFRASTRUKTUR TELEKOMUNIKASI INDONESIA,3.0
