Nama,cluster_fastrp_256
COMPAGNIE FINANCIERE MICHELIN SCMA,1
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,2
COMSAT DISTRIBUTIONS SDN BHD MALAYSIA,0
CONCORD BUILDING MATERIALS PTE LTD,1
CONCORD PHARMACEUTICALS LTD,2
CONSILIUM FRONTIER EQUITY FUND,0
CONSOLIDATED GRAIN AND BARGE CO,0
CONVIVIAL NAVIGATION CO PTE LTD,1
COREE CAPITAL LIMITED,1
CORNEL COFFEE,2
CORNERSTONE OFFSHORE PTE LTD,0
COSMOS STAR GENERAL TRADING LLC,1
COSTCO WHOLESALE CORPORATION,2
COVESTRO (HONG KONG) LIMITED,1
CP FOOD PRODUCTS INC,0
CP PRIMA AQUACULTURE PRIVATE LIMITED,0
CP PRIMA CORPORATION LIMITED,0
CPP INTERTRADE PTE LTD,0
CR LAURENCE CO INC,1
CR POWER FUEL (CHINA) LIMITED,1
CREATIVE AUDIO STREAM TECHNOLOGY PTE LTD,0
CRODA INDIA COMPANY PVT LTD,0
CRODA OVERSEAS HOLDINGS LIMITED,0
CRONIMET FERROLEG GMBH,1
CROWN PRINCE COURT,1
CRUSTACEA SEAFOOD COMPANY INC,2
CRYSTAL CHAIN HOLDINGS LTD,1
CRYSTAL COVE,0
CS AG SG ASIALINK ELECTRONICS,1
CV ADIPURA MAS PLASTINDO,0
CV ALERGA,1
CV ALIFA BERKAH ABADI,1
CV ANEKA AUTO PART,1
CV ANEKA USAHA SUKSES JAYA,1
CV ANIRAH KARYA MANDIRI,1
CV ANJAYA TEKNIK,2
CV ANUGRAH SINAR SEJAHTERA,1
CV AR AR LANDSCAPE,1
CV ARSYATMA PERKASA ENGINEER,1
CV ARTHA PUTRA WARDHANA,2
CV ATTHAFOOD,0
CV BABY WISE INDONESIA,1
CV BAJA BALI,1
CV BALI BLESSINDO,0
CV BALI CROCO DESIGN,1
CV BANGUN BERKAH MAJU BERSAMA,1
CV BASO SOEKAKOE,1
CV BATU PERMAI,1
CV BERKAH MULIA SEJAHTERA,1
CV BHARA RASA ENERGI COAL,1
CV BINO ARSITAMA,0
CV BUANA RAYA DUTA,1
CV BUKAHA GROUP,2
CV BUMI ANGKASA SEJAHTERA,2
CV CAHAYA KREASI,1
CV CIPTA KREASI UTAMA,1
CV CIPTA NUSA,2
CV CLIK,1
CV DELLA SUKSES,0
CV DIGITAL JAYA SUMATERA,1
CV DUA MUTIARA,1
CV DUTA KARYA BARU,1
CV ERA JAYA PERKASA,1
CV FAMILY PLASTINDO,2
CV GABRIEL INTI MARINDO,0
CV GALLERY AC,1
CV GALLERY AUTO SOLUTION,1
CV GARUDA MAS LESTARI,2
CV GOLDEN LEAF,2
CV GOLDEN MONKEY,2
CV HEMDEN CORP,2
CV HIDUP HIDAYAH ILAHI,1
CV IMAGO RAYA,2
CV INDAH KENCANA,2
CV INDO GAS MERAUKE,1
CV INDOSTAR SEJAHTERA,1
CV INDOTECH SARANA ENGINEERING,1
CV JASA BOGA NIAGA,2
CV JASA SAHABAT ABADI,1
CV JAYA ENERGI TRANS,1
CV JAYA MAS MOTOR,1
CV JUARA LINTAS ABADI,2
CV KARUNIA MULTI DAYA,0
CV KARYA BANGUNAN ANUGERAH,1
CV KARYA HIDUP MULYA,1
CV KARYA INDAH ESTAINDO,0
CV KARYA INDAH LAKSANA,0
CV KARYA USAHA ANEKA TEKNIK,1
CV KENCANA JAYA BOX,1
CV KEYSAR PUTRA MANDIRI,1
CV KREASI IMPIAN TERWUJUD,1
CV LANCAR MARITIM JAYA,1
CV LEGIT PUTRA,0
CV LINA GARMINDO SUKSES,2
CV MAHKOTA MAS PRATAMA,0
CV MAHKOTA TUNAS ABADI,2
CV MAJU BERSAMA MEAT SHOP,2
CV MEGA ELEKTRONIK GADGET,0
CV MITRA GARMINDO,2
CV MITRA KERJA LESTARI,1
CV MITRA SEKAWAN,2
CV MITRA TOP,2
CV MUL JAYA,1
CV MULIA RAYA,1
CV MULTI KREASI SUKSES ABADI,2
CV NAY SILA AMELIA,1
CV NOGO SOSTRO BAJINTEN,1
CV NOVENA TRACTOR,1
CV NUTRINDO PANGAN,1
CV ORION PUTRA MANDIRI,1
CV PACIFIC INDOJAYA,2
CV PUTRA PERDANA CHICKEN,0
CV PUTRA RANCAMAYA,0
CV PUTRA SONGKA MANDIRI,2
CV QUASAR PRIMA ABADI,2
CV RALISA CPO,1
CV RAYA DIPTA SWASTIKA,1
CV RINDASIWI MAKMUR JAYA,1
CV RR LIFESTYLE,2
CV SAMUDRA PANCA JAYA,1
CV SANTI JAYA LESTARI,2
CV SATRIA BAGUS,1
CV SELALU LANCAR USAHA,1
CV SENANG SETUJU JAKARTA,1
CV SILIH WANGI SAWARGI,1
CV SINAR CAHAYA MULIA,1
CV SRI REZEKI,1
CV SUDIRA UTAMA LESTARI,1
CV SUGI PERKASA,1
CV SUMBER KARYA LOGAM,2
CV TANJUNG EMAS INDAH,0
CV TIGA CAHAYA INTAN,1
CV TIRTA ASTRO,0
CV TRIJAYA PERKASA,0
CV UNITECH INDOSURTA,2
CV UTAMA LESTAR,1
CV WAHANA INDONUSA,2
CV WANARAYA TERPADU,1
CV WASTRA NUSANTARA,1
DAE WON CHONG UP CORPORATION,2
DAI TAY DUONG SEAFOODS IMPORT EXPORT CO LTD,1
DAIKIN AIRCONDITIONING,0
DAIWA HOUSE INDUSTRY CO LTD,2
DALIAN JUHUATONG INTERNATIONAL TRADE CO LTD TIONGKOK,1
DALLIGENT SOLUTIONS PTE LTD,1
DAMIANO INVESTMENTS BV,0
DANA KESEHATAN INDONESIA,1
DANA PENSIUN BANK RAKYAT INDONESIA,1
DANA PENSIUN KARYAWAN PANIN BANK,1
DANA PENSIUN KARYAWAN SEMEN BATURAJA,1
DANA PENSIUN PERKEBUNAN,1
DANKA MINERALS JOINT STOCK COMPANY,2
DARMA HENWA TBK,2
DARYA-VARIA LABORATORIA TBK,2
DATANG GROUP HOLDINGS LIMITED REPUBLIK RAKYAT CINA,1
DAYA ADICIPTA MUSTIKA,2
DAYCO INDUSTRIES LLC,1
DAYSEADAY FROZEN BV,1
DAYTON PARTS LLC,2
DB SPORE SES CLT AC,1
DBS BANK LTD,2
DBS VICKERS HONG KONG LIMITED,2
DDT HOLDING NZ LTD,1
DE LICACY INDUSTRIAL CO LTD,2
DEKKER HOUT BV,0
DELHAIZE THE LION NEDERLAND BV,0
DELTA DJAKARTA TBK,0
DEMETER INDO INVESTMENT PTE LTD,0
DENHAM PTE LTD,1
DENSO INTERNATIONAL ASIA PTE LTD,0
DENZIN INTERNATIONAL LTD,2
DESTINASI TIRTA NUSANTARA TBK,1
DEUTSCHE BANK AG,1
DFS VENTURE SINGAPORE (PTE) LIMITED,1
DFS VENTURE SINGAPORE PTE LTD,1
DG GLOBAL INC,0
DHARMA SAMUDERA FISHING IND TBK,0
DI,1
DIAMOND BRIDGE PTE LTD,1
DIAMOND BRIDGE PTE. LTD,2
DIAMOND PACIFIC INTERNATIONAL CORPORATION,0
DIAMONDBACK MARITIME LTD,2
DIAN SWASTATIKA SENTOSA TBK,1
DIC INVESTMENT AND TRADING JOINT STOCK COMPANY,2
DIE-NAMIC INC,2
DIGITAL EDGE (HONG KONG) LTD,2
DIGITAL EDGE HK SPVI LIMITED,2
DINAS KESEHATAN,0
DINAS KOMUNIKASI INFORMATIKA DAN STATISTIK PROVINSI DKI JAKARTA,1
DINAS PEMUDA DAN OLAHRAGA KAB KOLAKA TIMUR,1
DINAS PERPUSTAKAAN DAN KEARSIPAN DAERAH,2
DINAS PERUMAHAN RAKYAT DAN KAWASAN PEMUKIMAN PROVINSI DKI JAKARTA,1
DIRECTD RETAIL & WHOLESALE SDN BHD MALAYSIA,0
