Nama,PageRank
BERLINA TBK,0.34
PT TRIMITRA PROPERTINDO TBK,0.34
LION METAL WORKS TBK,0.34
LIONMESH PRIMA TBK,0.34
PT MAHAKA RADIO INTEGRA TBK,0.34
PT MITRABARA ADIPERDANA TBK,0.34
ADI SARANA ARMADA TBK,0.34
PT METRO HEALTHCARE INDONESIA TBK,0.34
PT SARIGUNA PRIMATIRTA TBK,0.34
NUSA KONSTRUKSI ENJINIRING TBK,0.34
PT PUTRA MANDIRI JEMBAR TBK,0.34
PT KRIDA JARINGAN NUSANTARA TBK,0.34
SAMUDERA INDONESIA TBK,0.34
INDOFOOD CBP SUKSES MAKMUR TBK,0.34
KOKOH INTI AREBAMA TBK,0.34
PT TELEKOMUNIKASI SELULAR,0.34
PT DISTRIBUSI VOUCHER NUSANTARA TBK,0.34
PT GRAHA MAKMUR LESTARI,0.34
PT ANUGERAH PHARMINDO LESTARI,0.34
PT INDAH JAYA TEXTILE INDUSTRY,0.34
PT SPINMILL INDAH INDUSTRY,0.34
PT APAC INTI CORPORA,0.34
PT KIRANA TAMA TEKNOLOGI,0.34
PT QORSER TEKNOLOGI,0.34
PT SMOOETS TEKNOLOGI OUTSOURCING,0.34
PT KAGUM MAHA KARYA JAYA,0.34
PT KAMALA KHAN MAHA INVESTASI,0.34
PT PERMATA NUSANTARA HOTELINDO,0.34
PT DHARMA POLIMETAL TBK,0.34
PP (PERSERO) TBK,0.33
PT FORTUNA KONTRAKTOR,0.33
SMR UTAMA TBK,0.33
BAYU BUANA TBK,0.33
MASKAPAI REASURANSI INDONESIA TBK,0.33
PT HUTAMA KARYA (PERSERO),0.33
PT PADI FLOUR NUSANTARA,0.33
PT PIONEERINDO SUGAKICO INDONESIA,0.33
PT PUTRA ASIA PERDANA INDAH,0.33
PT KENCANA PILAR MANDIRI,0.33
PANIN SEKURITAS TBK,0.33
ASURANSI MULTI ARTHA GUNA TBK,0.33
PT MIZUHO LEASING INDONESIA TBK,0.33
KRAKATAU STEEL (PERSERO) TBK,0.33
PT POOL ADVISTA FINANCE TBK,0.33
PT INASENTRA UNISATYA,0.33
PT SULOTCO JAYA ABADI,0.33
PT TIMAH TBK,0.33
CLIPAN FINANCE INDONESIA TBK,0.33
BANK VICTORIA INTERNATIONAL TBK,0.33
PT DIAGNOS LABORATORIUM UTAMA TBK,0.33
PT BUMEN DUTACIPTA SARANA,0.33
INTI BANGUN SEJAHTERA TBK,0.33
PT FIBERHOME TECHNOLOGIES INDONESIA,0.33
PT ASUS TECHNOLOGY INDONESIA JAKARTA,0.33
PT PERMATA FOOD INDONESIA,0.33
PT HOME CENTER INDONESIA RETAIL,0.33
PT TOURINDO GUIDE INDONESIA TBK,0.32
BAYAN RESOURCES TBK,0.32
PT JAKARTA RIVER CITY,0.32
PT URBAN JAKARTA KOMERSIAL,0.32
PT LASMANA SWASTI PRASHIDA,0.32
PT AMBASSADOR GARMINDO,0.32
SUMITOMO RUBBER THAILAND CO LTD,0.32
PT CHARNIC LAND INVESTMENT,0.32
PT BANK KB BUKOPIN SYARIAH,0.32
PT KB BUKOPIN FINANCE,0.32
THAI INDO KORDSA CO LTD,0.32
